trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps,Qm,Qm_pval,I2,I_resid
domain,frac,0.975,50,-0.000152740211592615,0.000108498766208746,-0.000365393885728788,5.99134625435585e-05,0.159202179931629,4,0.149921694417962,0.698610201144383,0,0
domain,frac,0.99,50,-0.000126255622919977,0.000123553909343219,-0.000368416835381814,0.00011590558954186,0.306844005439438,4,0.000382720058240425,0.984391794585909,0,0
domain,sum,0.9,50,-0.00460503835854791,0.00687507324700654,-0.0180799343137556,0.00886985759665975,0.502974694252989,4,4.7372887009878,0.029515552412993,0.523099712230728,0
domain,sum,0.925,50,-0.00462845789647293,0.00704716786272839,-0.0184406531004287,0.00918373730748281,0.51132065322434,4,5.09725145716176,0.0239637866453585,0.536117287650301,0
domain,sum,0.95,50,-0.00422279398192039,0.00727351121749111,-0.018478614009351,0.0100330260455103,0.561529223456333,4,4.88427175201881,0.0271024656195249,0.515090143963832,0
domain,sum,0.975,50,-0.00452759525270218,0.00772417761410527,-0.019666705186539,0.0106115146811347,0.557768755688379,4,4.53210703185796,0.0332646373594835,0.475530398127833,0
domain,sum,0.99,50,-0.00461224197680224,0.0083848812556474,-0.0210463072525161,0.0118218232989117,0.58227378810508,4,4.24382184987789,0.0393933934385845,0.461013510290723,0
domain,count,0.9,55,-0.000743265154515591,0.0083838752947798,-0.0171753587831591,0.0156888284741279,0.929356789379176,4,8.2765812216668,0.00401596734879369,0.703377423513446,0
domain,count,0.925,55,-0.000239844203780781,0.00858178796302374,-0.0170598395342667,0.0165801511267051,0.977703588316327,4,8.50426726844985,0.00354314561256592,0.694822042066272,0
domain,count,0.95,55,-0.000812183809477701,0.00879223193724457,-0.0180446417501999,0.0164202741312445,0.926399976509797,4,8.07636085863756,0.00448464156854663,0.666489553969101,0
domain,count,0.975,55,-0.00184418240704315,0.00923167679567221,-0.0199379364434748,0.0162495716293885,0.841662978281324,4,6.96724761375374,0.00830150902232597,0.587405296344381,0
