trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps
domain,count,0.95,75,-0.0228480428466794,0.010505685261535,-0.0434388075922013,-0.00225727810115748,0.029643119462255,3
domain,count,0.975,75,-0.0229029305234307,0.0109714938263979,-0.044406663279774,-0.00139919776708728,0.0368434782475294,3
domain,count,0.99,75,-0.0212421898025228,0.0115934119187586,-0.0439648596212271,0.00148048001618147,0.0669121170153497,3
domain,frac,0.9,75,-0.000149945470500959,0.000206559009475412,-0.000554793689755035,0.000254902748753117,0.467887356875183,3
domain,frac,0.925,75,-0.00016936440520964,0.000215725301778116,-0.000592178227248781,0.000253449416829502,0.432399095618747,3
domain,frac,0.95,75,-0.000155117012052799,0.000235518001593544,-0.000616723812886991,0.000306489788781393,0.510139418829248,3
domain,frac,0.975,75,-0.000148149282320577,0.00025170723405796,-0.000641486395722371,0.000345187831081217,0.556144550400737,3
domain,frac,0.99,75,-6.71231658311581e-05,0.000275505461649318,-0.000607103948207902,0.000472857616545586,0.807512414875513,3
domain,sum,0.9,75,-0.0173128581712015,0.00935758723960432,-0.0356533921430176,0.00102767580061453,0.0642931936355023,3
domain,sum,0.925,75,-0.0178006955461127,0.00957442279302602,-0.0365662193932031,0.000964828300977657,0.0629998501607412,3
domain,sum,0.95,75,-0.0171039103793939,0.009893277745629,-0.0364943784498783,0.00228655769109057,0.0838374439573684,3
domain,sum,0.975,75,-0.0165130511195258,0.0104002324662374,-0.0368971321841952,0.00387102994514358,0.112341097785691,3
domain,sum,0.99,75,-0.0170594903420928,0.0110675219732217,-0.038751434807713,0.00463245412352745,0.123219200922377,3
domain,count,0.9,80,-0.0185046842006414,0.00975099265612918,-0.0376162786201692,0.000606910218886311,0.0577325653699805,3
domain,count,0.925,80,-0.0199636460330451,0.00993569567499427,-0.0394372517173842,-0.000490040348705926,0.0445068990972176,3
domain,count,0.95,80,-0.0207959992919324,0.0102330583363949,-0.0408524250829637,-0.000739573500901133,0.0421296736217237,3
domain,count,0.975,80,-0.021435877011519,0.0107450511414096,-0.0424957902607227,-0.000375963762315208,0.0460479554227559,3
domain,count,0.99,80,-0.0205775658809069,0.0113558990026597,-0.0428347189381942,0.00167958717638034,0.0699769868593697,3
domain,frac,0.9,80,-0.00018218814304525,0.000219681036718646,-0.000612755063100218,0.000248378777009718,0.406917522250652,3
domain,frac,0.925,80,-0.000157732606545256,0.000236306423681571,-0.000620884686276597,0.000305419473186086,0.504458028297786,3
domain,frac,0.95,80,-0.000187076916609797,0.000249125531478787,-0.00067535398593762,0.000301200152718025,0.452692172335839,3
domain,frac,0.975,80,-0.000161358433878864,0.000265759903961834,-0.000682238274178882,0.000359521406421153,0.543745607383057,3
domain,frac,0.99,80,-9.28764182669081e-05,0.000290981955518554,-0.00066319057123431,0.000477437734700494,0.749587943399508,3
domain,sum,0.9,80,-0.0172178781654551,0.00932303793612077,-0.0354906967467524,0.00105494041584227,0.0647747057775138,3
domain,sum,0.925,80,-0.0175631769514628,0.00956320100026912,-0.0363067064889077,0.00118035258598209,0.0662782059642694,3
domain,sum,0.95,80,-0.0164646165733652,0.00988893074131382,-0.0358465646719512,0.0029173315252209,0.0959218976044778,3
domain,sum,0.975,80,-0.015445542366359,0.0104078567196121,-0.0358445666930518,0.00495348196033386,0.137801707289194,3
domain,sum,0.99,80,-0.0163691471428601,0.0110795282418293,-0.03808462346254,0.00534632917681967,0.13956235015072,3
hashtag,count,0.9,40,-0.0324891896518389,0.0136658682790334,-0.0592737992962127,-0.00570458000746508,0.0174353274826555,3
hashtag,count,0.925,40,-0.0281862197018766,0.0139051739369064,-0.0554398598169781,-0.000932579586775024,0.0426592345795118,3
hashtag,count,0.95,40,-0.0252857447196341,0.0143147559213869,-0.053342150773034,0.00277066133376573,0.077326892892146,3
hashtag,count,0.975,40,-0.0222668954537438,0.0151859251160771,-0.0520307617531771,0.00749697084568953,0.142570637875486,3
hashtag,count,0.99,40,-0.0161664107954091,0.0166363169641764,-0.0487729928805875,0.0164401712897693,0.331172848381154,3
hashtag,frac,0.9,40,-0.000165445451690362,0.000117281181811898,-0.000395312344105976,6.44214407252509e-05,0.158340917158522,3
hashtag,frac,0.925,40,-0.000167030551756096,0.000123853014203347,-0.000409777998971384,7.5716895459192e-05,0.177459313453862,3
hashtag,frac,0.95,40,-0.000159139297269399,0.000133179250122535,-0.000420165830997618,0.00010188723645882,0.232116094218903,3
hashtag,frac,0.975,40,-0.000111617133587375,0.000144109207647055,-0.000394065990416208,0.000170831723241457,0.438616495166892,3
hashtag,frac,0.99,40,-9.22837228386317e-05,0.000163234429758514,-0.000412217326202252,0.000227649880524989,0.571839317398583,3
hashtag,sum,0.9,40,-0.0303326106263546,0.0107538469992775,-0.0514097634401926,-0.00925545781251646,0.00479296273056091,3
hashtag,sum,0.925,40,-0.0305025832544492,0.0110707671180947,-0.0522008880871451,-0.00880427842175321,0.00586496986095147,3
hashtag,sum,0.95,40,-0.0303380674789099,0.011532682417007,-0.052941709661382,-0.00773442529643778,0.00852300907549131,3
hashtag,sum,0.975,40,-0.0305853401295219,0.0124888135193196,-0.0550629648370252,-0.0061077154220185,0.0143245938341127,3
hashtag,sum,0.99,40,-0.0304012356390073,0.0137761383292502,-0.0574019706103796,-0.00340050066763508,0.0273277632618652,3
hashtag,count,0.9,45,-0.0350928465037627,0.013321769182217,-0.0612030343112637,-0.00898265869626176,0.00843238222166861,3
hashtag,count,0.925,45,-0.0316062773941633,0.0136155529584074,-0.0582922708222395,-0.00492028396608705,0.0202687002813921,3
hashtag,count,0.95,45,-0.0295368521510703,0.0140006203382364,-0.0569775637752327,-0.0020961405269079,0.034885784049874,3
hashtag,count,0.975,45,-0.0273324324008793,0.0149027966383038,-0.0565413770808793,0.00187651227912069,0.0666469885061841,3
hashtag,count,0.99,45,-0.0213604626787613,0.016255402944055,-0.0532204670032954,0.0104995416457728,0.188828334490162,3
hashtag,frac,0.9,45,-0.000196400716500226,0.000121151410467167,-0.000433853117692102,4.10516846916507e-05,0.104992362173719,3
hashtag,frac,0.925,45,-0.000195413388520126,0.000128395007574864,-0.000447062979161607,5.62362021213561e-05,0.1280165220374,3
hashtag,frac,0.95,45,-0.000188132909286442,0.000137360157716039,-0.000457353871320621,8.10880527477361e-05,0.170801710324508,3
